name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2023-01-01,16.3,10.4,13.4,16.3,10.4,13.4,8.4,73.2,12.595,100,29.17,rain,0,0,60.4,12.7,281.8,1007.8,37,15.5,45.8,3.9,2,10,2023-01-01T06:58:43,2023-01-01T16:54:38,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,AT259,72295603167,72288023152,72287493134"
los angeles,2023-01-02,14.2,9.1,11.8,14.2,9.1,11.8,5,63.7,0.591,100,12.5,rain,0,0,33.5,9.2,95.5,1014.9,44,15.9,35.5,3,2,10,2023-01-02T06:58:54,2023-01-02T16:55:24,0.36,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-03,14.9,10,12.8,14.9,10,12.8,10.3,84.8,1.613,100,33.33,rain,0,0,35.3,18.1,88.4,1017.5,100,12.8,49.9,4.2,3,10,2023-01-03T06:59:03,2023-01-03T16:56:10,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,AT259,KSMO,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-04,16.3,13.9,15,16.3,13.9,15,13.9,93.1,10.166,100,87.5,rain,0,0,33.5,12.9,111.6,1018.5,99.7,8.2,25.7,2.2,2,10,2023-01-04T06:59:10,2023-01-04T16:56:58,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,AT259,72295603167,72288023152,72287493134"
los angeles,2023-01-05,17.2,11.2,14.2,17.2,11.2,14.2,11.7,85.3,22.576,100,50,rain,0,0,42.9,20.8,160.1,1018.4,73,11.7,42.8,3.8,3,10,2023-01-05T06:59:16,2023-01-05T16:57:47,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHHR,72295023174,KBUR,KCQT,KSMO,SE428,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-06,17.7,7.9,12.2,17.7,7.9,12.2,7.7,75.4,0,0,0,,0,0,9.4,7.8,316.9,1022.6,5.1,15.7,70.3,6.1,3,10,2023-01-06T06:59:19,2023-01-06T16:58:37,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-07,19.9,10.3,14.1,19.9,10.3,14.1,5.2,57.8,0,0,0,,0,0,13,6.5,6.5,1020.8,4.8,15.8,38.5,3.1,3,10,2023-01-07T06:59:21,2023-01-07T16:59:28,0.53,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-08,18.2,9.1,14,18.2,9.1,14,6.9,64.2,0,0,0,,0,0,9.4,7.4,229.4,1021.2,66.1,15.7,76,6.6,5,10,2023-01-08T06:59:21,2023-01-08T17:00:20,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-09,15.5,12.1,13.5,15.5,12.1,13.5,10.8,83.9,31.814,100,87.5,rain,0,0,55.4,17.7,105.3,1019.3,100,9.5,16.3,1.4,1,10,2023-01-09T06:59:19,2023-01-09T17:01:12,0.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,AT259,KSMO,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-10,16.4,11.7,14.2,16.4,11.7,14.2,12.1,87.3,28.554,100,58.33,rain,0,0,55.4,24.1,196.9,1017.7,71.8,11.1,38.8,3.3,2,30,2023-01-10T06:59:15,2023-01-10T17:02:06,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,KSMO,72295603167,72288023152,F1624,72287493134"
